,user_name,date,text,hashtags,favorite,retweet_count
10,มายองๆๆแง่วๆๆงึกๆงึกๆ,2022-09-09 06:57:04,หาฟิวลูกสาวกินข้าวกันตอนดึกๆ #มขfwb  #นัดเย็ดมข #มขนัดเย็ด #กังสดาล #มข #ขอนแก่นนัดเย็ด,"[['มขfwb', 'นัดเย็ดมข', 'มขนัดเย็ด', 'กังสดาล', 'มข', 'ขอนแก่นนัดเย็ด']]",0,0
11,shades of blue 📝,2022-09-09 06:44:52,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
12,Trafalgar's,2022-09-09 06:44:26,RT @fb021995: ขอจับมือเธอได้ไหม ในฐานะหมอดูก็ได้ #ขอนแก่นนัดเย็ด #สาวอวบ #สาวอ้วน #มข #มขนัดเย็ด https://t.co/WYKkzKdZ3i,"[['ขอนแก่นนัดเย็ด', 'สาวอวบ', 'สาวอ้วน', 'มข', 'มขนัดเย็ด']]",0,43
13,Koko,2022-09-09 06:35:24,โจชัวร์ ถึงความเป็นมวยจะน้อยกว่า แต่สามารถเอาชนะนักชกไทยเมื่อ7ที่ผ่านมาที่เวทีมวยราชดำเนิน #มข #ขอนแก่น #หลังมอ https://t.co/dFRflkowvp,"[['มข', 'ขอนแก่น', 'หลังมอ']]",8,0
14,💛🇹🇭🙏🏻 TurkkO 🙏🏻🇹🇭💛 ไม่เอา 112 #สมรสเท่าเทียม,2022-09-09 06:34:04,1มข 710,[None],0,0
15,Noey,2022-09-09 06:32:24,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
16,กิมโปเด็กเทคนิค,2022-09-09 06:29:58,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
17,NongSallypxxt,2022-09-09 06:27:47,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
18,ไฮทานิ งุง,2022-09-09 06:21:21,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
19,_diary.pak🤍 เรียนบ้างแต่บ่นมากกว่าเรียน,2022-09-09 06:21:11,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
20,ชีโบ🍫 ft.อ่านหนังสือสอบGED,2022-09-09 06:20:49,มข.มอใจ https://t.co/bghWH0fJl9,[None],0,0
21,Meow meow,2022-09-09 06:20:35,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
22,บะลึกบะลักบะอึกบะอักอุ๋งๆ ☀️ HOT ☀️,2022-09-09 06:13:07,@mingem_k น้องมะม่วง ถาปัต มข. https://t.co/wN6L4Umu1p,[None],0,0
23,♡̷̷̷ yes / goal med kku51 /.,2022-09-09 06:12:48,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
24,BLUE,2022-09-09 06:11:55,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
25,victoria,2022-09-09 05:55:21,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
26,qq_,2022-09-09 05:50:32,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
27,อย่าส่องทวิตนุ,2022-09-09 05:39:59,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
28,คนตัวดำ..,2022-09-09 05:38:18,บรรยากาศมันได้....#ขอนแก่น #มข  #หลังมอ #fwbมข https://t.co/MmDvgilLwe,"[['ขอนแก่น', 'มข', 'หลังมอ', 'fwbมข']]",1,0
29,k.🫠,2022-09-09 05:37:50,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
30,📕รับสอนภาษาอังกฤษ,2022-09-09 05:32:40,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
31,เลาอยากเป็นนังฟ้า,2022-09-09 05:32:25,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
32,美霖,2022-09-09 05:29:36,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
33,แฟรี่ก้อดมาเต้อจะเป็นคุณหมอ 🪄,2022-09-09 05:27:28,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
34,𝘓𝘢𝘤𝘦𝘳 𝘗𝘢𝘳𝘬𝘦𝘳~,2022-09-09 05:23:39,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
35,Render,2022-09-09 05:21:04,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
36,TaeTyiloveu💓🥀คุณแดนของน้อง🌟,2022-09-09 05:14:17,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
37,แพ่ดมขคอลลิ่งมี,2022-09-09 05:13:32,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
38,jj อยากติดหมอรามา,2022-09-09 05:11:13,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
39,เจ้าหยิงโซวอน🫧 ( FOREVER 1 ),2022-09-09 05:10:45,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
40,Queen of Swords,2022-09-09 05:05:53,RT @tsp303nungta: สมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เสด็จพื้นที่ ต.พลวงทอง อ.…,[None],0,2
41,𝓢𝓜1 𝓟𝓱𝓾𝓬𝓱𝓸𝓷𝓰 𝓡𝓸𝓮𝓷𝓼𝓾𝓴𝓼𝓪𝓷,2022-09-09 05:03:15,RT @tsp303nungta: สมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เสด็จพื้นที่ ต.พลวงทอง อ.…,[None],0,2
42,ammp,2022-09-09 05:03:06,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
43,꒰⭐️꒱,2022-09-09 05:02:59,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
44,sunshinexz,2022-09-09 04:57:44,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
45,🦖,2022-09-09 04:56:39,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
46,มอมอ,2022-09-09 04:50:32,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
47,FINʕ•ᴥ•ʔ,2022-09-09 04:46:11,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
48,meowdaisy🎀,2022-09-09 04:46:06,RT @nwskkk: ประกาศขายสัญญาหอ9หลังค่าาา สนใจDMมาได้เลย #หอพักมข #หอแปดหลัง #หอเก้าหลัง #หออินเตอร์ #หอใน #ทีมมข #มข #KKU https://t.co/BBPnuw…,"[['หอพักมข', 'หอแปดหลัง', 'หอเก้าหลัง', 'หออินเตอร์', 'หอใน', 'ทีมมข', 'มข', 'KKU']]",0,34
49,ขอปอว่าที่นศพ.มอขอ,2022-09-09 04:44:11,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
