,index,variable,comment
17,23,4,"pk='18253518154110860' text='หายไวๆนะคะะ \U0001faf6' user=UserShort(pk='1312663098', username='saipannsp', full_name='Saipannsp ☆', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/66376668_951780078488149_924714258489409536_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=KWMQjXNbdOIAX-BUB0p&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-9cbzqVnuPJcB2W47hZ8PBWDiiRTjSPRsV3Z3g4lFlQw&oe=63212852&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/66376668_951780078488149_924714258489409536_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=KWMQjXNbdOIAX-BUB0p&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-9cbzqVnuPJcB2W47hZ8PBWDiiRTjSPRsV3Z3g4lFlQw&oe=63212852&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 15, 2, 27, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
18,24,5,"pk='17878246136738322' text='😍😍😍' user=UserShort(pk='48432526193', username='skinnie.iceshop', full_name='ละลายสิว\u200b คัฟฟี่ YERPALL', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 0, 45, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
19,27,5,"pk='18058210723332922' text='แงง' user=UserShort(pk='1188960265', username='baitoeysnt', full_name='• สุ นั น ท า •', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/271241779_1081376826029064_7931553380667680973_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Lu9ekksWpBYAX_dhbtQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-M9CmcEYlBTNG17BSClnEi6uH6WMjI_G1PftFZvB8VFw&oe=632141C4&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/271241779_1081376826029064_7931553380667680973_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Lu9ekksWpBYAX_dhbtQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-M9CmcEYlBTNG17BSClnEi6uH6WMjI_G1PftFZvB8VFw&oe=632141C4&_nc_sid=705020'), profile_pic_url_hd=None, is_private=True, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 14, 39, 1, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
20,28,6,"pk='17962347862908288' text='🙌🙌🙌' user=UserShort(pk='48432526193', username='skinnie.iceshop', full_name='ละลายสิว\u200b คัฟฟี่ YERPALL', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 0, 44, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
21,31,6,"pk='17975669086725061' text='🥺🥺🥺🥺🥺 เทคแคร์นะคะะะะ' user=UserShort(pk='26106131968', username='ttttunyong', full_name='Thanaporn Panwilai', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/289461548_430698172300610_6578944560154277871_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ByiBziafu5AAX_wSvOa&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-YlDxLfJl6pmQTUVmN8frk90RKdqnluELWOBjPJ4hmPQ&oe=6322C646&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/289461548_430698172300610_6578944560154277871_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ByiBziafu5AAX_wSvOa&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-YlDxLfJl6pmQTUVmN8frk90RKdqnluELWOBjPJ4hmPQ&oe=6322C646&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 14, 33, 56, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
22,32,7,"pk='17921586167591141' text='🔥🔥🔥' user=UserShort(pk='48432526193', username='skinnie.iceshop', full_name='ละลายสิว\u200b คัฟฟี่ YERPALL', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 0, 43, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
23,35,7,"pk='17973991663703277' text='หายไว ๆ นะคะ' user=UserShort(pk='28801744434', username='pond_wcrpss', full_name='ปอน ด์', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/299126278_1947074198816863_5455630819105789125_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YSexCVYpkz4AX8zqnB5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-BYxRRfy_j8AK-sNCwAAUnWjNg_z2UYdQ7iX1YLsyeVg&oe=632139CE&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/299126278_1947074198816863_5455630819105789125_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YSexCVYpkz4AX8zqnB5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-BYxRRfy_j8AK-sNCwAAUnWjNg_z2UYdQ7iX1YLsyeVg&oe=632139CE&_nc_sid=705020'), profile_pic_url_hd=None, is_private=True, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 14, 29, 15, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
24,36,8,"pk='17985827815584638' text='❤️❤️❤️❤️' user=UserShort(pk='48432526193', username='skinnie.iceshop', full_name='ละลายสิว\u200b คัฟฟี่ YERPALL', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 0, 42, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
25,39,8,"pk='17929675670338816' text='❤️❤️' user=UserShort(pk='28801744434', username='pond_wcrpss', full_name='ปอน ด์', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/299126278_1947074198816863_5455630819105789125_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YSexCVYpkz4AX8zqnB5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-BYxRRfy_j8AK-sNCwAAUnWjNg_z2UYdQ7iX1YLsyeVg&oe=632139CE&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/299126278_1947074198816863_5455630819105789125_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YSexCVYpkz4AX8zqnB5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-BYxRRfy_j8AK-sNCwAAUnWjNg_z2UYdQ7iX1YLsyeVg&oe=632139CE&_nc_sid=705020'), profile_pic_url_hd=None, is_private=True, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 14, 29, 10, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
26,43,9,"pk='17955166253070084' text='หายไวๆน๊า' user=UserShort(pk='35269229', username='noonnoizz', full_name='Guncharee Garun', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/299118290_448036877209441_1946475379592943192_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=EN3p0M3PgR8AX8cIYnL&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8C1_f1Gg6BMJyKNuxe6XzKmej3BBUR6mOE4zYDuj6TZg&oe=6322ACA3&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/299118290_448036877209441_1946475379592943192_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=EN3p0M3PgR8AX8cIYnL&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8C1_f1Gg6BMJyKNuxe6XzKmej3BBUR6mOE4zYDuj6TZg&oe=6322ACA3&_nc_sid=705020'), profile_pic_url_hd=None, is_private=True, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 14, 23, 44, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
27,47,10,"pk='18026109646404524' text='Wow 😍 send pic on @paradise.of_nails_' user=UserShort(pk='53446949947', username='army__lover__only', full_name='INDIAN🇮🇳ARMY🇮🇳LOVER', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/302044784_621571559317766_6027891037090846710_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UoycuGV6bPcAX_1LpOJ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-j4Mfy27aDFGwKlM_X0p5Zc8SuqXCsfxzIM6tYAYckPQ&oe=6322B734&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/302044784_621571559317766_6027891037090846710_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UoycuGV6bPcAX_1LpOJ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-j4Mfy27aDFGwKlM_X0p5Zc8SuqXCsfxzIM6tYAYckPQ&oe=6322B734&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 14, 14, 12, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
